ax,ay,az,gx,gy,gz,d1,d2,d3,d4,target
12071,-7896,9871,-690,-1267,269,456.0,430.0,596.0,603.0,0
11839,-7912,9491,-780,-1219,474,465.0,434.0,588.0,611.0,0
11675,-7848,9311,-1043,-1355,781,451.0,451.0,588.0,611.0,0
11767,-7912,8963,-1316,-1218,1007,456.0,425.0,588.0,618.0,0
11631,-8180,8503,-1188,-1121,1124,456.0,413.0,588.0,618.0,0
11243,-8340,8107,-1092,-1180,948,461.0,434.0,588.0,611.0,0
11227,-8400,8095,-1016,-1287,863,456.0,442.0,596.0,618.0,0
11455,-8284,7955,-935,-1399,794,475.0,451.0,588.0,611.0,0
11279,-8212,8275,-670,-1601,745,456.0,402.0,588.0,618.0,0
11323,-7948,8383,-1071,-1841,874,456.0,438.0,596.0,611.0,0
11311,-8192,8151,-977,-2027,1027,456.0,434.0,581.0,611.0,0
10991,-8344,7867,-268,-2396,1069,461.0,451.0,596.0,603.0,0
11179,-8296,7799,427,-2650,1077,456.0,413.0,588.0,618.0,0
11443,-7956,7271,80,-2514,1105,456.0,434.0,588.0,581.0,0
11479,-8388,6807,-893,-2150,1114,451.0,417.0,588.0,618.0,0
11531,-9428,6307,-592,-1847,861,456.0,430.0,596.0,618.0,0
11703,-10160,6291,243,-1434,423,456.0,438.0,588.0,611.0,0
11791,-10044,6039,587,-784,-56,456.0,430.0,588.0,611.0,0
11691,-10288,6223,209,1063,-1263,456.0,417.0,588.0,611.0,0
11583,-10576,6319,788,1782,-1899,456.0,434.0,588.0,611.0,0
11867,-10036,6795,1675,2029,-2384,451.0,417.0,603.0,618.0,0
11851,-8764,7235,2100,2363,-2572,456.0,417.0,596.0,611.0,0
11863,-7700,7543,1248,2488,-2574,456.0,413.0,588.0,626.0,0
11723,-7632,7503,66,2665,-2320,456.0,430.0,588.0,611.0,0
11387,-8432,7539,-371,2690,-2334,456.0,451.0,596.0,611.0,0
11499,-9068,7303,-493,2431,-2560,456.0,425.0,596.0,611.0,0
11615,-9680,7111,156,2389,-2956,461.0,413.0,588.0,611.0,0
11695,-9788,7455,882,2213,-3545,461.0,425.0,588.0,603.0,0
11655,-8840,7827,1540,2101,-4012,456.0,438.0,588.0,618.0,0
11647,-7708,8347,1857,1897,-4014,456.0,421.0,588.0,611.0,0
11467,-7080,8783,1865,1489,-3684,451.0,447.0,596.0,596.0,0
12115,-6584,9111,1321,657,-3292,456.0,425.0,588.0,611.0,0
12659,-6776,9251,87,625,-3067,456.0,405.0,603.0,618.0,0
12475,-7532,9167,-554,952,-2615,456.0,430.0,588.0,611.0,0
11883,-7816,8839,-272,1172,-2291,461.0,438.0,588.0,618.0,0
11755,-7940,8503,-562,1863,-2228,456.0,413.0,588.0,626.0,0
11483,-7600,8387,-1794,2934,-2431,456.0,442.0,596.0,626.0,0
10787,-7832,8723,-3054,4052,-2929,456.0,434.0,596.0,626.0,0
10515,-8008,9403,-1457,4674,-2639,456.0,442.0,588.0,596.0,0
10091,-7668,9899,433,4941,-2149,461.0,398.0,588.0,626.0,0
10063,-5812,10611,975,4567,-1873,456.0,413.0,596.0,611.0,0
9891,-4316,11439,531,3969,-1176,456.0,456.0,581.0,618.0,0
9527,-4092,11631,-1581,3464,-721,456.0,421.0,596.0,611.0,0
9895,-5600,10695,-2381,2886,288,456.0,425.0,596.0,603.0,0
9859,-6928,10279,-1589,1940,397,456.0,417.0,596.0,603.0,0
10295,-7256,9787,-438,1248,312,456.0,447.0,588.0,596.0,0
10711,-7320,9539,-588,1370,39,456.0,430.0,588.0,596.0,0
10771,-7784,8919,-869,1728,-437,456.0,430.0,596.0,596.0,0
10891,-8212,9139,-745,1836,-1198,456.0,442.0,611.0,596.0,0
10811,-8616,9571,29,1501,-1950,461.0,434.0,596.0,588.0,0
11059,-8200,9523,485,1367,-1839,461.0,417.0,603.0,596.0,0
10739,-7640,9779,985,705,-1832,456.0,434.0,596.0,588.0,0
10923,-7260,9591,901,224,-1742,456.0,442.0,588.0,588.0,0
10727,-6524,9735,1394,-987,-1094,456.0,421.0,596.0,603.0,0
11023,-5472,9995,1205,-1646,-819,442.0,442.0,588.0,596.0,0
11239,-5696,9387,716,-978,-527,451.0,425.0,596.0,603.0,0
11271,-6564,9143,934,-1196,-222,451.0,417.0,596.0,603.0,0
11227,-6704,9195,1202,-1461,-233,461.0,442.0,588.0,611.0,0
11735,-6456,8939,1108,-1393,-54,456.0,421.0,596.0,603.0,0
11775,-7088,8987,1250,-1103,80,461.0,442.0,588.0,596.0,0
11935,-7376,9243,1883,-1252,-13,456.0,438.0,596.0,603.0,0
11991,-7688,8719,2267,-973,-13,456.0,438.0,588.0,596.0,0
12035,-7640,8975,2298,-498,-189,461.0,442.0,588.0,634.0,0
12299,-7816,8819,2220,91,-134,456.0,405.0,596.0,603.0,0
12131,-7332,9443,2584,656,-240,456.0,413.0,581.0,596.0,0
11771,-7256,9251,1833,1242,-143,461.0,425.0,596.0,603.0,0
11799,-7320,9483,1663,1736,52,461.0,442.0,596.0,603.0,0
11367,-7672,9387,2154,1671,-323,461.0,402.0,596.0,603.0,0
10943,-6088,10007,1488,1808,-526,465.0,413.0,603.0,611.0,0
10639,-6148,10911,1215,1642,-764,461.0,442.0,603.0,611.0,0
10315,-6276,10551,1168,1786,-848,461.0,434.0,588.0,603.0,0
10395,-5784,11055,1641,994,-728,456.0,398.0,596.0,611.0,0
10619,-5708,10939,2058,851,-631,461.0,417.0,596.0,603.0,0
10735,-5072,11471,2158,143,-659,456.0,405.0,596.0,611.0,0
10639,-4976,11975,1665,-189,-824,461.0,438.0,596.0,611.0,0
10711,-4848,11967,1190,-732,-845,485.0,434.0,603.0,611.0,0
10863,-4964,11499,1633,-1173,-818,456.0,394.0,596.0,611.0,0
11243,-4668,11603,2611,-1735,-576,512.0,409.0,596.0,603.0,0
11743,-5080,11575,2557,-1727,-840,461.0,442.0,596.0,611.0,0
11847,-4720,12279,1187,-1352,-569,461.0,434.0,596.0,611.0,0
11583,-5416,11935,421,-731,-538,456.0,391.0,596.0,611.0,0
11687,-5740,11503,82,-489,-289,470.0,425.0,596.0,611.0,0
11507,-5480,11499,293,-165,-99,461.0,442.0,603.0,611.0,0
10963,-5864,11083,383,213,-103,456.0,430.0,596.0,603.0,0
10831,-5392,11463,318,271,-287,461.0,421.0,596.0,611.0,0
10655,-5088,11127,379,441,14,456.0,430.0,596.0,603.0,0
10771,-4836,11023,101,275,184,461.0,430.0,596.0,611.0,0
10771,-5128,10799,281,285,397,461.0,398.0,603.0,618.0,0
10539,-5136,11259,4,2,264,456.0,434.0,596.0,611.0,0
10155,-5368,11471,-29,-482,368,461.0,434.0,596.0,611.0,0
10571,-5152,11551,22,-1213,184,456.0,417.0,596.0,611.0,0
10707,-5736,11287,208,-1617,364,456.0,434.0,603.0,611.0,0
10715,-6072,10875,505,-2222,324,461.0,421.0,603.0,611.0,0
11143,-6516,10523,1048,-2522,-102,461.0,447.0,596.0,611.0,0
11283,-6156,10771,1506,-2168,-140,470.0,421.0,596.0,611.0,0
11199,-6332,10355,1713,-2252,154,461.0,417.0,596.0,611.0,0
11367,-5924,10391,1501,-1930,106,456.0,430.0,603.0,626.0,0
11147,-6260,10367,1634,-1482,43,442.0,447.0,596.0,618.0,0
10735,-6020,10887,1475,-1562,-656,461.0,442.0,596.0,611.0,0
10631,-5816,11079,1183,-1740,-1088,461.0,413.0,603.0,611.0,0
10879,-5416,10663,1056,-1759,-496,461.0,417.0,596.0,611.0,0
11303,-5540,9879,285,-1243,-619,451.0,421.0,603.0,611.0,0
11127,-5936,9555,179,-857,-776,461.0,442.0,581.0,603.0,0
11251,-5444,9947,1025,-602,-909,485.0,442.0,588.0,603.0,0
11099,-5168,9915,1094,-953,-744,461.0,417.0,588.0,611.0,0
11591,-4632,9851,783,-934,-769,465.0,434.0,588.0,618.0,0
11567,-4616,9707,29,-871,-677,461.0,442.0,588.0,603.0,0
11519,-6104,9875,-222,-1220,-916,461.0,438.0,596.0,611.0,0
11651,-5324,9419,59,-924,-509,461.0,417.0,596.0,611.0,0
11875,-5352,9451,263,-994,-245,461.0,409.0,588.0,611.0,0
11819,-5040,9483,545,-855,-185,461.0,421.0,588.0,603.0,0
11887,-5136,9611,339,-800,-100,461.0,438.0,596.0,611.0,0
11843,-5728,9635,482,-581,-275,461.0,434.0,596.0,603.0,0
11815,-6104,10039,263,-356,-193,461.0,421.0,588.0,611.0,0
12235,-5924,10343,233,-547,-264,461.0,398.0,588.0,611.0,0
12067,-6340,10371,542,-694,-460,461.0,442.0,596.0,611.0,0
12019,-6256,9971,1125,-1078,-533,461.0,425.0,596.0,611.0,0
11991,-6632,9255,2411,-1180,-818,456.0,425.0,588.0,611.0,0
12011,-6508,9015,4084,-1092,-957,456.0,421.0,596.0,611.0,0
12203,-6288,9287,5199,-677,-1246,465.0,405.0,581.0,603.0,0
11999,-4524,9643,3154,172,-1404,456.0,430.0,588.0,611.0,0
12183,-4028,8987,-426,2041,-1542,461.0,417.0,588.0,611.0,0
12079,-4432,9307,-867,3111,-1730,465.0,434.0,588.0,611.0,0
11811,-3896,9803,-46,3855,-848,461.0,421.0,588.0,603.0,0
11227,-4324,10659,-31,3975,-91,456.0,413.0,588.0,603.0,0
11423,-3408,11543,-1542,4038,-102,461.0,438.0,596.0,603.0,0
11231,-4756,10931,-2762,4016,-367,461.0,438.0,588.0,611.0,0
11535,-5988,10619,-1769,3332,-424,461.0,417.0,596.0,611.0,0
11503,-5560,10407,756,2192,-301,461.0,430.0,581.0,603.0,0
11807,-4576,10119,714,2258,-479,461.0,442.0,588.0,603.0,0
11915,-4360,10127,432,2527,-451,465.0,425.0,588.0,618.0,0
11795,-4404,10283,169,2967,-160,461.0,409.0,588.0,611.0,0
11463,-4460,10835,154,3125,205,456.0,405.0,588.0,611.0,0
11195,-4680,11115,191,3182,291,461.0,413.0,581.0,611.0,0
